first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value
Lavena,Seekings,F,87,1995-03-25,Payment Adjustment Coordinator,Retail,Mass Customer,False,False,16,293 Mayfield Street,3166,VIC,Australia,10,54,1.38125
Martelle,Tuppeny,F,52,1981-02-03,Marketing Assistant,Manufacturing,Mass Customer,False,False,9,261 Grayhawk Way,2226,NSW,Australia,10,54,1.38125
Briant,Ladley,M,75,1979-12-17,Recruiter,Argiculture,Mass Customer,False,False,12,2 Schlimgen Terrace,2750,NSW,Australia,8,57,1.375
Marylou,Kirkup,F,51,1972-10-31,VP Product Management,,Mass Customer,False,False,14,76733 Sunbrook Terrace,3196,VIC,Australia,9,57,1.375
Whittaker,,M,64,1966-07-29,Media Manager III,,Mass Customer,False,True,8,683 Florence Way,3156,VIC,Australia,5,57,1.375
Normy,Goodinge,,5,,Associate Professor,IT,Mass Customer,False,False,4,7232 Fulton Parkway,3810,VIC,Australia,5,57,1.375
Lorrie,Antonelli,M,47,1983-02-11,Cost Accountant,Financial Services,High Net Worth,False,True,17,06936 Bobwhite Circle,2257,NSW,Australia,7,57,1.375
Jedediah,Kedie,M,31,1971-12-29,Developer I,Argiculture,Mass Customer,False,True,9,283 Acker Drive,2763,NSW,Australia,9,62,1.36796875
Kaine,Smallcombe,M,59,1942-02-06,Senior Financial Analyst,Financial Services,High Net Worth,False,False,11,9 Mosinee Parkway,2072,NSW,Australia,10,62,1.36796875
Loise,Iltchev,F,70,1967-03-18,Electrical Engineer,Manufacturing,High Net Worth,False,True,17,45 Becker Place,4504,QLD,Australia,6,62,1.36796875
Cristen,Maroney,F,22,1999-11-21,Accountant IV,IT,High Net Worth,False,True,7,27 Karstens Crossing,4214,QLD,Australia,7,65,1.3625
Dorothy,Barnardo,F,58,1983-02-01,Human Resources Manager,Retail,High Net Worth,False,False,12,9630 Cottonwood Avenue,2168,NSW,Australia,8,65,1.3625
Rosmunda,Duxbarry,F,69,1996-07-20,Executive Secretary,Property,Affluent Customer,False,True,5,989 Graedel Terrace,4208,QLD,Australia,11,65,1.3625
Rozamond,Riha,F,54,1984-10-07,Account Representative I,Manufacturing,Affluent Customer,False,True,16,76 Bartelt Center,4078,QLD,Australia,7,68,1.3546875
Gunner,Petti,M,62,1999-06-08,Executive Secretary,Financial Services,High Net Worth,False,True,3,29778 Mendota Drive,4036,QLD,Australia,5,68,1.3546875
Vivienne,Crayden,F,82,1988-09-18,Associate Professor,,High Net Worth,False,True,6,69 Algoma Center,4173,QLD,Australia,7,68,1.3546875
Sherilyn,Canero,F,11,1996-08-03,Dental Hygienist,Health,High Net Worth,False,True,13,8288 Lyons Way,2484,NSW,Australia,7,68,1.3546875
Bessie,Roscow,F,78,1994-08-04,GIS Technical Architect,Financial Services,Mass Customer,False,False,9,4185 Florence Trail,2121,NSW,Australia,10,72,1.35
Kevina,Ferandez,F,73,1999-09-21,Assistant Professor,Financial Services,High Net Worth,False,False,15,9608 Heffernan Drive,4068,QLD,Australia,9,72,1.35
Yancy,Clementet,M,5,1968-02-16,Mechanical Systems Engineer,,High Net Worth,False,False,15,9 Union Center,2147,NSW,Australia,9,72,1.35
Mabelle,Wellbelove,F,76,1958-04-21,,Financial Services,Affluent Customer,False,True,19,800 Emmet Park,2219,NSW,Australia,9,72,1.35
Hasheem,Groucock,M,98,1974-09-17,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,False,True,10,12351 Spenser Pass,2034,NSW,Australia,12,72,1.35
Tobias,Woodhams,M,0,1961-04-15,Research Nurse,Health,Mass Customer,False,False,17,4 Valley Edge Plaza,2759,NSW,Australia,9,77,1.34140625
Glennis,Flintoff,F,36,1956-10-22,Speech Pathologist,Health,Affluent Customer,False,True,13,1601 Rutledge Lane,3030,VIC,Australia,7,78,1.3375
Chanda,Mensler,F,15,1972-01-14,Computer Systems Analyst IV,Manufacturing,Mass Customer,False,True,13,0 Mockingbird Plaza,2212,NSW,Australia,10,78,1.3375
Katheryn,Kinner,F,15,1973-11-28,Analyst Programmer,Entertainment,High Net Worth,False,False,6,1665 Kenwood Center,2518,NSW,Australia,6,78,1.3375
Sumner,Carrivick,M,53,1995-04-09,Desktop Support Technician,Manufacturing,Mass Customer,False,False,15,5 4th Center,2097,NSW,Australia,12,78,1.3375
Valerie,Pickover,F,34,1965-09-08,Editor,Financial Services,Mass Customer,False,False,9,92214 Spenser Road,2756,NSW,Australia,8,78,1.3375
Esther,Rooson,F,14,1981-02-22,,Financial Services,Mass Customer,False,False,5,5186 Main Trail,2046,NSW,Australia,9,78,1.3375
Gardie,Crellim,M,58,1975-09-12,Biostatistician IV,Manufacturing,High Net Worth,False,False,8,564 Forest Dale Avenue,3161,VIC,Australia,12,84,1.328125
Sean,O'Loughlin,M,48,1961-03-22,Database Administrator III,Manufacturing,High Net Worth,False,True,16,83 Old Gate Point,2576,NSW,Australia,10,85,1.325
Pietra,Buckleigh,F,9,1949-04-29,Engineer III,,High Net Worth,False,False,13,387 Dixon Alley,2024,NSW,Australia,10,85,1.325
Marysa,Rouchy,F,8,1999-02-15,Assistant Media Planner,Entertainment,Affluent Customer,False,False,5,411 Twin Pines Way,2026,NSW,Australia,9,85,1.325
Kahaleel,,M,5,1942-11-01,GIS Technical Architect,,High Net Worth,False,False,13,12 Arapahoe Park,2035,NSW,Australia,12,88,1.31484375
Ossie,Midden,M,49,1950-02-10,Physical Therapy Assistant,Manufacturing,Mass Customer,False,True,14,4915 Debra Center,2479,NSW,Australia,9,89,1.3125
Sid,Carlone,M,24,1971-08-18,Structural Engineer,Health,Affluent Customer,False,False,16,76 Sunnyside Avenue,4670,QLD,Australia,2,89,1.3125
Ludovico,Juster,M,93,1992-04-19,Environmental Specialist,,Affluent Customer,False,False,15,1 Talisman Avenue,2125,NSW,Australia,10,89,1.3125
Patricia,Everix,F,34,1978-02-19,Director of Sales,Health,Mass Customer,False,False,19,91164 Washington Terrace,2263,NSW,Australia,7,89,1.3125
Andromache,Bonafacino,F,84,1977-09-01,,Retail,Mass Customer,False,False,11,74 Carpenter Street,2015,NSW,Australia,9,89,1.3125
Levy,Abramamov,M,94,1952-09-21,Teacher,,Affluent Customer,False,True,14,6776 Anderson Center,4037,QLD,Australia,8,89,1.3125
Nobe,McAughtry,M,25,1978-12-14,,,Mass Customer,False,False,12,1 Orin Hill,4510,QLD,Australia,5,89,1.3125
Jehu,Prestedge,M,91,1999-10-20,,Manufacturing,High Net Worth,False,True,8,88 Annamark Avenue,2138,NSW,Australia,12,96,1.3
Symon,Mawne,M,18,1943-02-08,Human Resources Assistant IV,Property,Mass Customer,False,True,15,37439 High Crossing Circle,3350,VIC,Australia,4,96,1.3
Karlik,Penchen,M,60,1994-10-31,Nurse Practicioner,Retail,Mass Customer,False,False,11,5 Nevada Point,4017,QLD,Australia,6,96,1.3
Bengt,Bilson,M,26,1972-11-02,Structural Engineer,Manufacturing,High Net Worth,False,False,11,67 Grayhawk Circle,2232,NSW,Australia,10,99,1.296875
Evangelin,Boc,F,30,2000-05-09,Structural Analysis Engineer,Manufacturing,High Net Worth,False,True,14,0 Meadow Ridge Street,3173,VIC,Australia,8,99,1.296875
Hanny,Treven,F,84,1991-01-22,Associate Professor,Retail,Mass Customer,False,False,3,5 Quincy Street,4118,QLD,Australia,4,99,1.296875
Gina,Mallon,F,56,1994-02-11,Dental Hygienist,Health,Mass Customer,False,False,12,13025 Johnson Plaza,4670,QLD,Australia,2,102,1.28828125
Reynold,Elman,M,19,1940-01-18,Marketing Manager,Manufacturing,Mass Customer,False,False,9,966 Sunnyside Center,2390,NSW,Australia,2,102,1.28828125
Flossy,Concannon,F,64,1980-10-20,Staff Accountant IV,Financial Services,Affluent Customer,False,False,8,802 Mallory Park,3919,VIC,Australia,2,104,1.2875
Cristen,Wiltshire,F,59,1961-10-20,VP Sales,Financial Services,High Net Worth,False,True,15,93 Judy Drive,3047,VIC,Australia,6,104,1.2875
Griffith,Escot,M,50,1946-10-23,Accountant III,IT,Mass Customer,False,True,16,94 Manitowish Court,4116,QLD,Australia,3,104,1.2875
Jamie,Jiruca,F,21,1963-06-16,Recruiting Manager,Argiculture,Mass Customer,False,False,18,5013 Erie Crossing,2230,NSW,Australia,9,104,1.2875
Lyon,Brittan,M,14,1972-04-23,Sales Representative,Retail,High Net Worth,False,False,19,540 Sachs Road,3153,VIC,Australia,8,104,1.2875
Aridatha,Sephton,F,95,1961-10-22,Human Resources Assistant II,,Mass Customer,False,False,5,422 Forster Circle,2340,NSW,Australia,1,104,1.2875
Michal,Bryan,F,1,1969-11-09,,Manufacturing,Mass Customer,False,True,16,4275 Bluestem Pass,4000,QLD,Australia,8,104,1.2875
Franciska,Stigell,F,95,1968-11-15,Food Chemist,Health,Mass Customer,False,True,7,6 Anderson Junction,3802,VIC,Australia,7,111,1.28125
Jordan,Clampe,M,37,1939-12-09,Staff Scientist,Financial Services,Mass Customer,False,True,11,276 Westend Road,4207,QLD,Australia,5,111,1.28125
David,Napoleon,M,72,1961-11-05,Structural Engineer,,High Net Worth,False,False,14,69 Garrison Point,2223,NSW,Australia,11,111,1.28125
Meriel,Tapp,F,0,1995-08-13,VP Sales,IT,Mass Customer,False,False,5,65 Milwaukee Hill,3280,VIC,Australia,2,114,1.275
Dolley,Starmont,F,53,1977-11-08,Geologist IV,Manufacturing,Affluent Customer,False,False,18,4252 Dovetail Pass,4129,QLD,Australia,6,114,1.275
Frederik,Milan,M,45,1997-11-13,,Health,Mass Customer,False,False,5,56 Riverside Street,2546,NSW,Australia,5,114,1.275
Rollo,Louedey,M,64,1946-07-09,Information Systems Manager,Telecommunications,Affluent Customer,False,True,17,7 Cascade Park,2089,NSW,Australia,9,114,1.275
Jerrine,Cosbey,F,21,1978-01-11,Junior Executive,Financial Services,High Net Worth,False,True,6,29307 Russell Avenue,3094,VIC,Australia,9,114,1.275
Roddy,Rubinshtein,M,37,1987-10-08,Nurse Practicioner,Retail,Mass Customer,False,True,4,3 Mcguire Crossing,4510,QLD,Australia,7,114,1.275
Viki,Coutts,F,2,1952-12-14,Automation Specialist II,Property,Mass Customer,False,True,7,6 Golf View Alley,2287,NSW,Australia,4,120,1.2625
Ashby,Bispham,M,71,1981-10-29,Software Consultant,Retail,Affluent Customer,False,False,4,83716 Russell Lane,2145,NSW,Australia,8,120,1.2625
Alexander,Broadbent,M,57,1997-05-28,Desktop Support Technician,,Mass Customer,False,False,9,265 Stephen Trail,2209,NSW,Australia,10,120,1.2625
Teddy,Lagadu,F,86,1969-07-20,Design Engineer,,High Net Worth,False,False,6,2 Charing Cross Trail,2759,NSW,Australia,8,120,1.2625
Peria,Rantoull,F,3,1975-03-13,Financial Analyst,Financial Services,Mass Customer,False,False,4,8350 Moulton Terrace,4500,QLD,Australia,4,120,1.2625
Ludvig,Andren,M,44,1941-02-22,Media Manager III,,High Net Worth,False,True,15,578 Waywood Circle,4306,QLD,Australia,5,125,1.26171875
Elsworth,Abbitt,M,71,1956-02-08,,Health,Mass Customer,False,True,6,9722 Northport Way,3500,VIC,Australia,3,125,1.26171875
Rebeca,Aggas,F,66,1953-02-27,Social Worker,Health,Affluent Customer,False,False,21,7026 Katie Lane,3818,VIC,Australia,1,127,1.25
Ricki,Dobrowski,M,13,1975-03-10,Civil Engineer,Manufacturing,Mass Customer,False,True,9,8 Eggendart Pass,2835,NSW,Australia,1,127,1.25
Georgetta,Lovett,F,42,1940-02-02,Editor,Retail,Mass Customer,False,False,12,1 Bluejay Place,4405,QLD,Australia,1,127,1.25
Bambi,Cogger,F,51,1990-07-12,Design Engineer,Retail,Affluent Customer,False,True,5,28970 Monument Lane,2560,NSW,Australia,7,127,1.25
Aurie,Rhead,F,78,1962-07-28,Geological Engineer,Manufacturing,Affluent Customer,False,True,5,235 Mendota Court,2650,NSW,Australia,2,127,1.25
Farris,Skettles,M,38,1965-07-03,Payment Adjustment Coordinator,,Mass Customer,False,True,13,49309 Redwing Lane,3240,VIC,Australia,7,132,1.2484375
Sharline,Abyss,F,11,1960-03-18,,,Mass Customer,False,True,15,367 Bay Point,4011,QLD,Australia,4,133,1.2375
Nowell,Preddy,M,29,1985-07-23,,Manufacturing,Mass Customer,False,False,9,932 Glendale Avenue,2173,NSW,Australia,9,133,1.2375
Lacy,Drance,F,27,1978-02-05,Graphic Designer,Manufacturing,Affluent Customer,False,True,14,492 Waywood Lane,2750,NSW,Australia,8,133,1.2375
Padraig,Snel,M,89,1970-11-08,Staff Accountant II,,Mass Customer,False,False,19,12683 Mifflin Point,2114,NSW,Australia,7,133,1.2375
Malorie,Votier,F,90,1990-05-29,Graphic Designer,Manufacturing,Affluent Customer,False,False,4,6160 Weeping Birch Hill,4509,QLD,Australia,5,133,1.2375
Shepperd,Ricards,M,28,1967-09-27,Social Worker,Health,Mass Customer,False,True,16,7 Oakridge Lane,2284,NSW,Australia,4,133,1.2375
Daryl,Pauncefort,F,12,1979-06-18,Community Outreach Specialist,Financial Services,Mass Customer,False,True,12,0 Dexter Parkway,2380,NSW,Australia,3,133,1.2375
Norina,Blakeway,F,60,1980-02-11,Programmer Analyst II,Property,Mass Customer,False,True,3,75813 Lawn Lane,3081,VIC,Australia,8,133,1.2375
My,Chaston,M,92,1966-07-16,Desktop Support Technician,Manufacturing,Affluent Customer,False,True,16,74613 Northport Park,3765,VIC,Australia,9,133,1.2375
Isak,Bergstram,M,14,2001-03-08,Pharmacist,Health,Affluent Customer,False,True,15,68 Karstens Pass,2176,NSW,Australia,9,142,1.23515625
Grannie,Cracker,M,28,1949-03-06,VP Marketing,Retail,Mass Customer,False,True,20,87254 Hermina Pass,4217,QLD,Australia,8,142,1.23515625
Welby,Lourenco,M,6,1975-12-27,Senior Cost Accountant,Financial Services,High Net Worth,False,True,17,801 Atwood Alley,2138,NSW,Australia,9,144,1.234375
Glenn,Casbourne,F,4,1981-08-08,Senior Editor,Manufacturing,Mass Customer,False,False,6,2 Morrow Alley,4207,QLD,Australia,1,144,1.234375
Nadiya,Balasini,F,40,1950-11-05,Sales Associate,Financial Services,Mass Customer,False,False,15,92934 Mallory Trail,2164,NSW,Australia,9,146,1.225
Tyne,Coate,F,82,1965-07-15,Developer II,Manufacturing,Mass Customer,False,False,17,90820 Thackeray Street,2218,NSW,Australia,8,146,1.225
Christie,Anders,M,38,1969-10-02,VP Marketing,Retail,Mass Customer,False,False,16,48 Ludington Plaza,2153,NSW,Australia,10,146,1.225
Agnella,Capener,F,58,1969-05-21,Teacher,Health,High Net Worth,False,False,19,49185 Derek Circle,3977,VIC,Australia,6,146,1.225
Bernardine,Delmonti,F,39,1971-03-31,,Property,Mass Customer,False,False,17,0721 Meadow Ridge Pass,2540,NSW,Australia,8,146,1.225
Daisy,Spowart,F,60,1967-12-18,Staff Accountant I,Health,Affluent Customer,False,True,4,115 Westridge Road,4570,QLD,Australia,3,146,1.225
Denys,Minshall,F,30,1961-12-26,Environmental Tech,Manufacturing,Affluent Customer,False,True,14,7 Myrtle Lane,2324,NSW,Australia,8,152,1.221875
Archibald,Blessed,M,61,1969-02-10,VP Sales,Financial Services,Mass Customer,False,True,18,7795 Memorial Drive,2016,NSW,Australia,11,153,1.21875
Feodor,Englishby,M,54,1961-08-14,Account Coordinator,Health,Mass Customer,False,False,11,24695 Boyd Road,3201,VIC,Australia,5,154,1.203125
Skippie,Yearsley,M,6,1956-09-04,Compensation Analyst,Financial Services,Mass Customer,False,False,9,95306 John Wall Avenue,4350,QLD,Australia,5,155,1.2
Bill,,F,74,1963-04-24,Human Resources Assistant II,Property,Mass Customer,False,True,19,6704 Pine View Lane,2170,NSW,Australia,9,155,1.2
Tessa,Friese,F,89,1976-10-24,Health Coach II,Financial Services,Mass Customer,False,False,21,98158 Alpine Point,4212,QLD,Australia,9,157,1.1953125
Roseanne,Caruth,F,16,1957-05-25,Programmer Analyst III,Health,Mass Customer,False,False,7,33652 Lyons Alley,2763,NSW,Australia,9,158,1.1875
Tedra,Goodbanne,F,4,1978-01-15,Senior Quality Engineer,,Mass Customer,False,True,6,8 Debs Road,3934,VIC,Australia,9,158,1.1875
Roberto,Harme,M,27,1951-06-11,Environmental Tech,,High Net Worth,False,False,10,101 Starling Pass,2564,NSW,Australia,9,158,1.1875
Nichole,Leisman,M,37,1986-08-07,Geologist III,Property,Affluent Customer,False,False,4,35151 Bunker Hill Crossing,2068,NSW,Australia,12,158,1.1875
Amil,Ennor,F,23,1995-08-04,Health Coach II,Health,Mass Customer,False,True,10,2093 Amoth Pass,3109,VIC,Australia,11,158,1.1875
Shawna,Hinrichsen,F,60,1969-08-27,Assistant Professor,Manufacturing,Affluent Customer,False,True,9,57343 Eagan Avenue,2326,NSW,Australia,2,163,1.18203125
Fonsie,Levane,M,96,1951-07-10,Account Representative III,,High Net Worth,False,True,19,83 Armistice Terrace,4011,QLD,Australia,3,163,1.18203125
Emilie,Brody,F,3,1979-05-22,Director of Sales,,Mass Customer,False,True,3,5388 Burrows Alley,2073,NSW,Australia,11,163,1.18203125
Robert,Corkill,M,55,1976-03-12,Clinical Specialist,Health,Mass Customer,False,False,4,5612 Toban Point,2227,NSW,Australia,10,166,1.175
Elvira,Kurten,F,65,1973-03-18,Assistant Professor,Financial Services,High Net Worth,False,False,12,65 Ridge Oak Court,2471,NSW,Australia,3,166,1.175
Juliana,Mitchenson,F,55,1989-01-05,Environmental Tech,Manufacturing,Mass Customer,False,True,8,74 Russell Terrace,4350,QLD,Australia,4,166,1.175
Regine,Bownes,F,99,1952-07-01,Senior Developer,Retail,Affluent Customer,False,False,15,255 Loeprich Lane,3752,VIC,Australia,9,166,1.175
Abner,Fraschetti,M,33,1986-01-23,Staff Scientist,Argiculture,Affluent Customer,False,False,13,67 Northport Avenue,3805,VIC,Australia,7,166,1.175
Alvira,Coulman,F,42,1955-06-05,Account Representative II,,Affluent Customer,False,False,14,823 Wayridge Trail,2205,NSW,Australia,9,166,1.175
Sawyer,Sponton,M,36,1956-02-22,Help Desk Technician,Property,Mass Customer,False,True,10,5 Golf Terrace,2126,NSW,Australia,11,166,1.175
Feodor,Vickers,M,60,1989-11-18,VP Quality Control,Financial Services,Mass Customer,False,True,4,40809 Truax Way,2209,NSW,Australia,6,173,1.171875
Paten,Cayet,M,56,1995-02-19,Assistant Manager,Manufacturing,Affluent Customer,False,True,16,1398 Burning Wood Way,3850,VIC,Australia,1,174,1.16875
Loria,Tappington,F,72,1955-09-06,Research Assistant IV,Property,Mass Customer,False,False,5,3920 Swallow Junction,3038,VIC,Australia,8,174,1.16875
Tanya,Kiefer,F,54,1992-07-05,Speech Pathologist,Telecommunications,High Net Worth,False,False,7,4 Warner Park,2146,NSW,Australia,9,174,1.16875
Devonne,Alderwick,F,79,1939-01-29,Research Associate,,High Net Worth,False,True,9,534 Lien Lane,3122,VIC,Australia,7,177,1.1625
Omero,McDonand,M,51,1952-04-01,Software Consultant,Manufacturing,Mass Customer,False,False,16,48 Shoshone Park,2066,NSW,Australia,9,177,1.1625
Iain,Haversham,M,92,1950-12-26,Sales Representative,Retail,Mass Customer,False,True,13,170 Briar Crest Place,2120,NSW,Australia,10,177,1.1625
Keriann,Newham,F,71,1975-03-26,Assistant Manager,Financial Services,Mass Customer,False,False,5,0193 Northland Street,4179,QLD,Australia,9,177,1.1625
